2,8,64,4250,5000,1,1
2,8,64,4250,5000,1,1
2,8,64,4250,5000,1,1
2,8,64,4250,5000,1,1
4,8,64,4250,4250,1,1
4,8,64,4250,4250,1,1
4,8,64,4250,4250,1,1
4,8,64,4250,4250,1,1
2,8,64,4250,5000,1,1
2,8,64,4250,5000,1,1
4,8,64,4250,4250,1,1
4,8,64,4250,4250,1,1
4,8,64,4250,4250,1,1
4,8,64,4250,4250,1,1
2,8,64,4250,5000,1,1
2,8,64,4250,5000,1,1
4,8,64,4250,4250,1,1
4,8,64,4250,4250,1,1
4,8,64,4250,4250,1,1
4,8,64,4250,4250,1,1
2,8,64,4250,5000,1,1
2,8,64,4250,5000,1,1
4,8,64,4250,4250,1,1
4,8,64,4250,4250,1,1
4,8,64,4250,4250,1,1
4,8,64,4250,4250,1,1
2,8,64,4250,5000,1,1
2,8,64,4250,5000,1,1
